Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
678 Korean Bbq,Sydney,Sydney,1,11,00,00,00
678 Korean Bbq,Sydney,Sydney,2,11,00,00,00
678 Korean Bbq,Sydney,Sydney,3,11,00,00,00
678 Korean Bbq,Sydney,Sydney,4,11,00,00,00
678 Korean Bbq,Sydney,Sydney,5,11,00,00,00
678 Korean Bbq,Sydney,Sydney,6,11,00,00,00
6th Avenue Eats,Seattle,Seattle,0,11,00,14,00
6th Avenue Eats,Seattle,Seattle,1,11,00,14,00
6th Avenue Eats,Seattle,Seattle,2,11,00,14,00
6th Avenue Eats,Seattle,Seattle,3,11,00,14,00
6th Avenue Eats,Seattle,Seattle,4,11,00,14,00
7 Leguas Mexican Grille,Denver,Denver,0,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,1,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,2,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,3,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,4,10,00,00,00
7 Leguas Mexican Grille,Denver,Denver,5,10,00,00,00
7 Leguas Mexican Grille,Denver,Denver,6,09,00,22,00
7 Leguas Mexican Grille,Denver,Denver,0,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,1,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,2,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,3,10,00,22,00
7 Leguas Mexican Grille,Denver,Denver,4,10,00,02,00
7 Leguas Mexican Grille,Denver,Denver,5,09,00,02,00
7 Leguas Mexican Grille,Denver,Denver,6,09,00,22,00
75 on Liberty Wharf,Boston,Boston,0,11,30,00,00
75 on Liberty Wharf,Boston,Boston,1,11,30,00,00
75 on Liberty Wharf,Boston,Boston,2,11,30,00,00
75 on Liberty Wharf,Boston,Boston,3,11,30,00,00
75 on Liberty Wharf,Boston,Boston,4,11,30,02,00
75 on Liberty Wharf,Boston,Boston,5,10,30,02,00
75 on Liberty Wharf,Boston,Boston,6,10,00,00,00
7th & Bake Patisserie Cafe,Canberra,Canberra,0,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,Canberra,1,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,Canberra,2,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,Canberra,3,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,Canberra,4,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,Canberra,5,07,30,17,00
7th & Bake Patisserie Cafe,Canberra,Canberra,6,07,30,17,00
7th District,Charlotte,Charlotte,0,16,00,23,00
7th District,Charlotte,Charlotte,1,16,00,23,00
7th District,Charlotte,Charlotte,2,16,00,23,00
7th District,Charlotte,Charlotte,3,16,00,23,00
7th District,Charlotte,Charlotte,4,16,00,02,00
7th District,Charlotte,Charlotte,5,14,00,02,00
7th District,Charlotte,Charlotte,6,11,00,16,00
8 Hoxton Square,London,London,0,12,00,23,00
8 Hoxton Square,London,London,1,12,00,23,00
8 Hoxton Square,London,London,2,12,00,23,00
8 Hoxton Square,London,London,3,12,00,23,00
8 Hoxton Square,London,London,4,12,00,23,00
8 Hoxton Square,London,London,5,10,00,23,00
8 Hoxton Square,London,London,6,10,00,17,00
800 Degrees,Las Vegas,Las Vegas,0,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,1,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,2,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,3,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,4,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,5,11,00,02,00
800 Degrees,Las Vegas,Las Vegas,6,11,00,02,00
888 Chinese Restaurant,Houston,Houston,0,10,00,23,00
888 Chinese Restaurant,Houston,Houston,1,10,00,23,00
888 Chinese Restaurant,Houston,Houston,2,10,00,23,00
888 Chinese Restaurant,Houston,Houston,3,10,00,23,00
888 Chinese Restaurant,Houston,Houston,4,10,00,23,00
888 Chinese Restaurant,Houston,Houston,5,11,00,00,00
888 Chinese Restaurant,Houston,Houston,6,11,00,00,00
8Bit,Melbourne,Melbourne,0,11,00,23,00
8Bit,Melbourne,Melbourne,1,11,00,23,00
8Bit,Melbourne,Melbourne,2,11,00,23,00
8Bit,Melbourne,Melbourne,3,11,00,23,00
8Bit,Melbourne,Melbourne,4,11,00,23,00
8Bit,Melbourne,Melbourne,5,11,00,23,00
8Bit,Melbourne,Melbourne,6,11,00,23,00
8Elements Perfect Indian Cuisine,San Jose,San Jose,0,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,San Jose,1,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,San Jose,2,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,San Jose,3,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,San Jose,4,11,30,22,30
8Elements Perfect Indian Cuisine,San Jose,San Jose,5,11,30,22,30
8Elements Perfect Indian Cuisine,San Jose,San Jose,6,11,30,22,00
8oz Burger & Co,Seattle,Seattle,0,11,30,23,00
